timestamp,action,client_ip,stream,peer_id,clip_id,source,duration_ms,path
2026-09-01T20:08:28-08:00,connect,199.131.68.69,Revillagigedo Net,stream-11-peer-1,,,,
2026-09-01T20:08:44-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-1,,,,
2026-09-01T20:10:17-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-2,,,,
2026-09-01T20:10:17-08:00,connect,199.131.68.69,Revillagigedo Net,stream-11-peer-2,,,,
2026-09-01T20:10:20-08:00,disconnect,199.131.68.69,Revillagigedo Net,stream-11-peer-1,,,112671,
2026-09-01T20:10:29-08:00,disconnect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-2,,,12489,
2026-09-01T20:10:30-08:00,disconnect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-1,,,105996,
2026-09-01T20:10:33-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-3,,,,
2026-09-01T20:12:07-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-4,,,,
2026-09-01T20:12:18-08:00,connect,199.131.68.69,Revillagigedo Net,stream-11-peer-3,,,,
2026-09-01T20:12:22-08:00,disconnect,199.131.68.69,Revillagigedo Net,stream-11-peer-2,,,125362,
2026-09-01T20:12:23-08:00,disconnect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-3,,,109560,
2026-09-01T20:21:23-08:00,disconnect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-4,,,555915,
2026-09-01T20:21:24-08:00,disconnect,199.131.68.69,Revillagigedo Net,stream-11-peer-3,,,546558,
2026-09-01T20:21:25-08:00,connect,199.131.68.69,Revillagigedo Net,stream-11-peer-4,,,,
2026-09-01T20:21:26-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-5,,,,
2026-09-01T20:22:33-08:00,connect,199.131.68.69,Revillagigedo Net,stream-11-peer-5,,,,
2026-09-01T20:22:35-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-6,,,,
2026-09-01T20:22:51-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-7,,,,
2026-09-01T20:22:54-08:00,disconnect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-5,,,87971,
2026-09-01T20:22:54-08:00,connect,199.131.68.69,Revillagigedo Net,stream-11-peer-6,,,,
2026-09-01T20:22:55-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-8,,,,
2026-09-01T20:23:02-08:00,disconnect,199.131.68.69,Revillagigedo Net,stream-11-peer-4,,,96351,
2026-09-01T20:23:12-08:00,connect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-9,,,,
2026-09-01T20:23:17-08:00,disconnect,199.131.68.69,Revillagigedo Net,stream-11-peer-5,,,44577,
2026-09-01T20:23:30-08:00,disconnect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-6,,,54186,
2026-09-01T20:23:32-08:00,disconnect,199.131.68.69,Juneau Net - Multicast,stream-5-peer-7,,,41355,
